Wilayah,Tahun,P1,UHH,HLS,RLS,Pengeluaran,TPT,Kepadatan
Kabupaten Cilacap,2021,1.48,73.9,12.63,7.09,10534,9.97,924
Kabupaten Banyumas,2021,2.35,73.8,13.03,7.63,11546,6.05,1340
Kabupaten Purbalingga,2021,2.1,73.21,12.0,7.25,10032,6.05,1487
Kabupaten Banjarnegara,2021,2.97,74.28,11.63,6.75,9407,5.86,1003
Kabupaten Kebumen,2021,3.24,73.55,13.35,7.55,9028,6.03,1124
Kabupaten Purworejo,2021,1.36,74.87,13.51,8.21,10275,3.59,709
Kabupaten Wonosobo,2021,2.75,71.94,11.76,6.82,10760,5.26,903
Kabupaten Magelang,2021,1.63,73.88,12.55,7.79,9440,5.03,1184
Kabupaten Boyolali,2021,1.76,76.03,12.57,7.85,13031,5.09,1061
Kabupaten Klaten,2021,1.79,76.86,13.39,8.81,12017,5.48,1925
Kabupaten Sukoharjo,2021,0.91,77.73,13.84,9.35,11428,3.32,1864
Kabupaten Wonogiri,2021,1.57,76.28,12.5,7.34,9429,2.43,585
Kabupaten Karanganyar,2021,1.61,77.55,13.69,8.57,11509,5.89,1211
Kabupaten Sragen,2021,2.39,75.79,12.84,7.66,12679,4.76,1045
Kabupaten Grobogan,2021,1.66,74.84,12.44,7.11,10294,4.38,725
Kabupaten Blora,2021,1.82,74.51,12.35,6.99,9669,3.81,491
Kabupaten Rembang,2021,2.77,74.61,12.12,7.3,10519,3.67,730
Kabupaten Pati,2021,1.69,76.27,12.94,7.48,10506,4.6,894
Kabupaten Kudus,2021,1.23,76.68,13.24,8.76,11272,3.77,2005
Kabupaten Jepara,2021,0.88,75.91,12.76,7.79,10536,4.23,1122
Kabupaten Demak,2021,2.31,75.46,13.32,7.86,10248,5.28,1347
Kabupaten Semarang,2021,0.95,75.79,12.98,8.03,12070,5.02,1115
Kabupaten Temanggung,2021,1.57,75.64,12.32,7.25,9408,2.62,948
Kabupaten Kendal,2021,1.51,74.48,12.96,7.46,11608,7.55,917
Kabupaten Batang,2021,1.76,74.74,12.13,6.88,9524,6.59,1023
Kabupaten Pekalongan,2021,1.75,73.74,12.42,7.17,10409,4.28,1167
Kabupaten Pemalang,2021,2.92,73.53,11.96,6.45,8573,6.71,1328
Kabupaten Tegal,2021,1.0,71.72,12.89,6.99,9700,9.97,1836
Kabupaten Brebes,2021,3.04,69.54,12.05,6.22,10152,9.78,1047
Kota Magelang,2021,0.85,76.93,14.15,10.62,12349,8.73,7572
Kota Surakarta,2021,1.83,77.32,14.88,10.9,14911,7.85,11361
Kota Salatiga,2021,0.8,77.55,15.42,10.66,15843,7.26,3374
Kota Semarang,2021,0.67,77.51,15.53,10.78,15425,9.54,4432
Kota Pekalongan,2021,1.51,74.44,12.85,9.18,12598,6.89,6813
Kota Tegal,2021,1.04,74.54,13.07,8.73,13143,8.25,6950
Kabupaten Cilacap,2022,1.47,74.07,12.66,7.18,10904,9.62,930
Kabupaten Banyumas,2022,1.75,73.88,13.21,7.78,11905,6.05,1360
Kabupaten Purbalingga,2022,2.08,73.28,12.01,7.33,10277,5.23,1311
Kabupaten Banjarnegara,2022,2.34,74.37,11.81,6.84,9776,6.38,971
Kabupaten Kebumen,2022,3.41,73.7,13.36,7.85,9282,5.92,1073
Kabupaten Purworejo,2022,1.31,75.03,13.52,8.32,10671,4.45,752
Kabupaten Wonosobo,2022,3.18,72.05,11.78,6.88,11108,5.01,910
Kabupaten Magelang,2022,1.66,74.03,12.58,7.81,10011,4.97,1209
Kabupaten Boyolali,2022,1.13,76.12,12.62,8.08,13250,4.92,1064
Kabupaten Klaten,2022,1.86,76.95,13.4,9.09,12522,4.31,1946
Kabupaten Sukoharjo,2022,0.87,77.82,13.9,9.62,11841,2.47,1964
Kabupaten Wonogiri,2022,1.33,76.41,12.51,7.42,9780,1.95,580
Kabupaten Karanganyar,2022,1.64,77.64,13.7,8.79,11798,5.7,1227
Kabupaten Sragen,2022,2.07,75.87,12.91,7.79,13052,4.69,1048
Kabupaten Grobogan,2022,1.95,74.93,12.45,7.26,10610,4.4,744
Kabupaten Blora,2022,1.8,74.6,12.44,7.01,10067,3.7,495
Kabupaten Rembang,2022,2.41,74.68,12.13,7.41,10937,1.76,642
Kabupaten Pati,2022,1.2,76.32,12.95,7.79,10948,4.45,898
