wilayah,ipm,tahun,tpt,kepadatan,indeks_kedalaman,indeks_keparahan
3301 Kabupaten Cilacap,7042.0,2021,997.0,924.0,148.0,3.0
3302 Kabupaten Banyumas,7244.0,2021,605.0,1340.0,236.0,57.0
3303 Kabupaten Purbalingga,6915.0,2021,605.0,1487.0,21.0,41.0
3304 Kabupaten Banjarnegara,6786.0,2021,586.0,1003.0,297.0,79.0
3305 Kabupaten Kebumen,7005.0,2021,603.0,1124.0,324.0,88.0
3306 Kabupaten Purworejo,7298.0,2021,359.0,709.0,136.0,28.0
3307 Kabupaten Wonosobo,6843.0,2021,526.0,903.0,275.0,65.0
3308 Kabupaten Magelang,7012.0,2021,503.0,1184.0,163.0,35.0
3309 Kabupaten Boyolali,744.0,2021,509.0,1061.0,176.0,38.0
3310 Kabupaten Klaten,7612.0,2021,548.0,1925.0,179.0,38.0
3311 Kabupaten Sukoharjo,7713.0,2021,332.0,1864.0,91.0,21.0
3312 Kabupaten Wonogiri,7049.0,2021,243.0,585.0,158.0,34.0
3313 Kabupaten Karanganyar,7599.0,2021,589.0,1211.0,161.0,37.0
3314 Kabupaten Sragen,7408.0,2021,476.0,1045.0,239.0,6.0
3315 Kabupaten Grobogan,7041.0,2021,438.0,725.0,166.0,37.0
3316 Kabupaten Blora,6937.0,2021,381.0,491.0,182.0,4.0
3317 Kabupaten Rembang,7043.0,2021,367.0,730.0,277.0,68.0
3318 Kabupaten Pati,7228.0,2021,46.0,894.0,169.0,42.0
3319 Kabupaten Kudus,7516.0,2021,377.0,2005.0,123.0,27.0
3320 Kabupaten Jepara,7236.0,2021,423.0,1122.0,88.0,17.0
3321 Kabupaten Demak,7257.0,2021,528.0,1347.0,232.0,62.0
3322 Kabupaten Semarang,7424.0,2021,502.0,1115.0,95.0,18.0
3323 Kabupaten Temanggung,6988.0,2021,262.0,948.0,157.0,39.0
3324 Kabupaten Kendal,725.0,2021,755.0,917.0,152.0,33.0
3325 Kabupaten Batang,6892.0,2021,659.0,1023.0,176.0,48.0
3326 Kabupaten Pekalongan,7011.0,2021,428.0,1167.0,175.0,39.0
3327 Kabupaten Pemalang,6656.0,2021,671.0,1328.0,292.0,77.0
3328 Kabupaten Tegal,6879.0,2021,997.0,1836.0,1.0,19.0
3329 Kabupaten Brebes,6632.0,2021,978.0,1047.0,304.0,74.0
3371 Kota Magelang,7943.0,2021,873.0,7572.0,85.0,15.0
3372 Kota Surakarta,8262.0,2021,785.0,11361.0,183.0,54.0
3373 Kota Salatiga,836.0,2021,726.0,3374.0,8.0,19.0
3374 Kota Semarang,8355.0,2021,954.0,4432.0,67.0,14.0
3375 Kota Pekalongan,754.0,2021,689.0,6813.0,151.0,41.0
3376 Kota Tegal,7552.0,2021,825.0,6950.0,104.0,24.0
3301 Kabupaten Cilacap,7099.0,2022,962.0,930.0,147.0,33.0
3302 Kabupaten Banyumas,7317.0,2022,605.0,1360.0,175.0,35.0
3303 Kabupaten Purbalingga,6954.0,2022,523.0,1311.0,208.0,48.0
3304 Kabupaten Banjarnegara,6861.0,2022,638.0,971.0,234.0,48.0
3305 Kabupaten Kebumen,7079.0,2022,592.0,1073.0,341.0,102.0
3306 Kabupaten Purworejo,736.0,2022,445.0,752.0,131.0,24.0
3307 Kabupaten Wonosobo,6889.0,2022,501.0,910.0,318.0,86.0
3308 Kabupaten Magelang,7085.0,2022,497.0,1209.0,166.0,41.0
