wilayah,uhh,hls,rls,pengeluaran,ipm,tahun,indeks_kedalaman_p1,indeks_keparahan_p2,kepadatan,tpt
Kabupaten Banyumas,73.8,13.03,7.63,11546,72.44,2021,2.36,0.57,1340,6.05
Kabupaten Purbalingga,73.21,12.0,7.25,10032,69.15,2021,2.1,0.41,1487,6.05
Kabupaten Banjarnegara,74.28,11.63,6.75,9407,67.86,2021,2.97,0.79,1003,5.86
Kabupaten Kebumen,73.55,13.35,7.55,9028,70.05,2021,3.24,0.88,1124,6.03
Kabupaten Purworejo,74.87,13.51,8.21,10275,72.98,2021,1.36,0.28,709,3.59
Kabupaten Wonosobo,71.94,11.76,6.82,10760,68.43,2021,2.75,0.65,903,5.26
Kabupaten Magelang,73.88,12.55,7.79,9440,70.12,2021,1.63,0.35,1184,5.03
Kabupaten Boyolali,76.03,12.57,7.85,13031,74.4,2021,1.76,0.38,1061,5.09
Kabupaten Klaten,76.86,13.39,8.81,12017,76.12,2021,1.79,0.38,1925,5.48
Kabupaten Sukoharjo,77.73,13.84,9.35,11428,77.13,2021,0.91,0.21,1864,3.32
Kabupaten Wonogiri,76.28,12.5,7.34,9429,70.49,2021,1.58,0.34,585,2.43
Kabupaten Karanganyar,77.55,13.69,8.57,11509,75.99,2021,1.61,0.37,1211,5.89
Kabupaten Sragen,75.79,12.84,7.66,12679,74.08,2021,2.39,0.6,1045,4.76
Kabupaten Grobogan,74.84,12.44,7.11,10294,70.41,2021,1.66,0.37,725,4.38
Kabupaten Blora,74.51,12.35,6.99,9669,69.37,2021,1.82,0.4,491,3.81
Kabupaten Rembang,74.61,12.12,7.3,10519,70.43,2021,2.77,0.68,730,3.67
Kabupaten Pati,76.27,12.94,7.48,10506,72.28,2021,1.69,0.42,894,4.6
Kabupaten Kudus,76.68,13.24,8.76,11272,75.16,2021,1.23,0.27,2005,3.77
Kabupaten Jepara,75.91,12.76,7.79,10536,72.36,2021,0.88,0.17,1122,4.23
Kabupaten Demak,75.46,13.32,7.86,10248,72.57,2021,2.32,0.62,1347,5.28
Kabupaten Semarang,75.79,12.98,8.03,12070,74.24,2021,0.95,0.18,1115,5.02
Kabupaten Temanggung,75.64,12.32,7.25,9408,69.88,2021,1.57,0.39,948,2.62
Kabupaten Kendal,74.48,12.96,7.46,11608,72.5,2021,1.52,0.33,917,7.55
