Kabupaten / Kota,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota di Provinsi Jawa Tengah
,2024
3300 PROVINSI JAWA TENGAH,1.64
3301 Kabupaten Cilacap,1.59
3302 Kabupaten Banyumas,2.09
3303 Kabupaten Purbalingga,2.1
3304 Kabupaten Banjarnegara,2.38
3305 Kabupaten Kebumen,2.35
3306 Kabupaten Purworejo,1.08
3307 Kabupaten Wonosobo,2.41
3308 Kabupaten Magelang,1.23
3309 Kabupaten Boyolali,1.56
3310 Kabupaten Klaten,1.46
3311 Kabupaten Sukoharjo,1.21
3312 Kabupaten Wonogiri,1.53
3313 Kabupaten Karanganyar,1.63
3314 Kabupaten Sragen,2.42
3315 Kabupaten Grobogan,1.9
3316 Kabupaten Blora,1.59
3317 Kabupaten Rembang,2.76
3318 Kabupaten Pati,1.17
3319 Kabupaten Kudus,1.02
3320 Kabupaten Jepara,0.71
3321 Kabupaten Demak,1.95
3322 Kabupaten Semarang,0.91
3323 Kabupaten Temanggung,0.97
3324 Kabupaten Kendal,0.91
3325 Kabupaten Batang,1.25
3326 Kabupaten Pekalongan,1.16
3327 Kabupaten Pemalang,2.56
3328 Kabupaten Tegal,0.97
3329 Kabupaten Brebes,2.5
3371 Kota Magelang,0.92
3372 Kota Surakarta,1.14
3373 Kota Salatiga,0.61
3374 Kota Semarang,0.59
3375 Kota Pekalongan,0.83
3376 Kota Tegal,1.34
