Kabupaten dan Kota,,
,Indeks Kedalaman Kemiskinan dan Indeks Keparahan Kemiskinan Menurut Kabupaten/Kota di Provinsi Jawa Tengah,
,Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan
,2021,2021
3301 Kabupaten Cilacap,1.48,0.3
3302 Kabupaten Banyumas,2.36,0.57
3303 Kabupaten Purbalingga,2.1,0.41
3304 Kabupaten Banjarnegara,2.97,0.79
3305 Kabupaten Kebumen,3.24,0.88
3306 Kabupaten Purworejo,1.36,0.28
3307 Kabupaten Wonosobo,2.75,0.65
3308 Kabupaten Magelang,1.63,0.35
3309 Kabupaten Boyolali,1.76,0.38
3310 Kabupaten Klaten,1.79,0.38
3311 Kabupaten Sukoharjo,0.91,0.21
3312 Kabupaten Wonogiri,1.58,0.34
3313 Kabupaten Karanganyar,1.61,0.37
3314 Kabupaten Sragen,2.39,0.6
3315 Kabupaten Grobogan,1.66,0.37
3316 Kabupaten Blora,1.82,0.4
3317 Kabupaten Rembang,2.77,0.68
3318 Kabupaten Pati,1.69,0.42
3319 Kabupaten Kudus,1.23,0.27
3320 Kabupaten Jepara,0.88,0.17
3321 Kabupaten Demak,2.32,0.62
3322 Kabupaten Semarang,0.95,0.18
3323 Kabupaten Temanggung,1.57,0.39
3324 Kabupaten Kendal,1.52,0.33
3325 Kabupaten Batang,1.76,0.48
3326 Kabupaten Pekalongan,1.75,0.39
3327 Kabupaten Pemalang,2.92,0.77
3328 Kabupaten Tegal,1,0.19
3329 Kabupaten Brebes,3.04,0.74
3371 Kota Magelang,0.85,0.15
3372 Kota Surakarta,1.83,0.54
3373 Kota Salatiga,0.8,0.19
3374 Kota Semarang,0.67,0.14
3375 Kota Pekalongan,1.51,0.41
3376 Kota Tegal,1.04,0.24
3300 Provinsi Jawa Tengah,1.91,0.45
