Kabupaten dan Kota,
,[Indikator Strategis] Kepadatan Penduduk Menurut Kabupaten/Kota di Provinsi Jawa Tengah (jiwa per km2)
,2023
3301 Kabupaten Cilacap,893
3302 Kabupaten Banyumas,1377
3303 Kabupaten Purbalingga,1321
3304 Kabupaten Banjarnegara,984
3305 Kabupaten Kebumen,1048
3306 Kabupaten Purworejo,762
3307 Kabupaten Wonosobo,924
3308 Kabupaten Magelang,1226
3309 Kabupaten Boyolali,1008
3310 Kabupaten Klaten,1834
3311 Kabupaten Sukoharjo,1999
3312 Kabupaten Wonogiri,586
3313 Kabupaten Karanganyar,1244
3314 Kabupaten Sragen,1003
3315 Kabupaten Grobogan,756
3316 Kabupaten Blora,461
3317 Kabupaten Rembang,636
3318 Kabupaten Pati,864
3319 Kabupaten Kudus,2057
3320 Kabupaten Jepara,1216
3321 Kabupaten Demak,1382
3322 Kabupaten Semarang,1137
3323 Kabupaten Temanggung,929
3324 Kabupaten Kendal,1050
3325 Kabupaten Batang,967
3326 Kabupaten Pekalongan,1205
3327 Kabupaten Pemalang,1366
3328 Kabupaten Tegal,1682
3329 Kabupaten Brebes,1154
3371 Kota Magelang,6585
3372 Kota Surakarta,11258
3373 Kota Salatiga,3618
3374 Kota Semarang,4534
3375 Kota Pekalongan,7017
3376 Kota Tegal,7123
3300 Provinsi Jawa Tengah,200
