Wilayah,Tahun,P1,UHH,HLS,RLS,Pengeluaran,TPT,Kepadatan,prediksi,abs_error,ape_%
Kabupaten Cilacap,2023,1.54,74.25,12.67,7.39,11432,8.74,893,1.9041297981341332,0.36412979813413315,23.644792086632023
Kabupaten Banyumas,2023,1.78,73.98,13.26,7.87,12492,6.35,1377,1.8263453235007172,0.046345323500717184,2.603669859590853
Kabupaten Purbalingga,2023,2.52,73.37,12.02,7.34,10964,5.61,1321,2.0158241463684785,0.5041758536315215,20.006978318711173
Kabupaten Banjarnegara,2023,2.34,74.47,11.82,6.86,10226,6.26,984,1.9989287112994945,0.3410712887005054,14.575696098312196
Kabupaten Kebumen,2023,2.89,73.83,13.37,7.86,9734,5.11,1048,1.8457183164581137,1.0442816835418864,36.134314309407834
Kabupaten Purworejo,2023,1.78,75.21,13.53,8.46,11110,4.02,762,1.5525687533905952,0.22743124660940484,12.777036326371057
Kabupaten Wonosobo,2023,2.6,72.17,11.8,6.89,11577,4.95,924,2.2545082284292324,0.3454917715707677,13.288145060414141
Kabupaten Magelang,2023,1.73,74.2,12.61,7.82,10493,4.42,1226,1.8125602733342918,0.08256027333429183,4.772270134930164
Kabupaten Boyolali,2023,1.02,76.23,12.66,8.09,13716,4.05,1008,1.5199152678205563,0.4999152678205563,49.011300766721206
Kabupaten Klaten,2023,1.7,77.07,13.41,9.27,12968,4.2,1834,1.1571590597905388,0.5428409402094612,31.931820012321243
Kabupaten Sukoharjo,2023,1.17,77.86,13.91,9.84,12319,3.4,1999,0.9380985808462143,0.2319014191537856,19.82063411570817
Kabupaten Wonogiri,2023,1.32,76.56,12.52,7.67,10283,1.92,586,1.5772824162156391,0.2572824162156391,19.491092137548414
Kabupaten Karanganyar,2023,1.22,77.72,13.71,9.02,12260,4.35,1244,1.139566290122357,0.08043370987764287,6.592927039151054
Kabupaten Sragen,2023,2.15,75.97,12.92,7.87,13439,3.87,1003,1.5993416845756872,0.5506583154243128,25.61201467089827
Kabupaten Grobogan,2023,1.48,75.04,12.46,7.28,11083,4.02,756,1.8388966005765082,0.3588966005765082,24.249770309223525
Kabupaten Blora,2023,1.35,74.71,12.51,7.08,10541,3.1,461,1.9217837381516516,0.5717837381516515,42.3543509741964
Kabupaten Rembang,2023,2.52,74.77,12.15,7.72,11399,2.6,636,1.7701607895540763,0.7498392104459237,29.755524224044592
Kabupaten Pati,2023,1.64,76.39,12.96,7.8,11385,4.29,864,1.5672665301418842,0.07273346985811568,4.434967674275347
Kabupaten Kudus,2023,0.99,76.86,13.26,9.34,12088,3.25,2057,1.1652790563478308,0.1752790563478308,17.704955186649578
Kabupaten Jepara,2023,1.01,76.04,12.85,8.26,11306,3.35,1216,1.5031321617431068,0.4931321617431068,48.8249665092185
Kabupaten Demak,2023,1.83,75.6,13.34,8.27,11166,5.38,1382,1.551061755200671,0.27893824479932916,15.242527038214707
Kabupaten Semarang,2023,0.82,75.95,13.05,8.07,12943,4.05,1137,1.556379810128062,0.736379810128062,89.80241586927585
Kabupaten Temanggung,2023,0.99,75.77,12.61,7.5,10108,2.32,929,1.7058562590501396,0.7158562590501396,72.30871303536763
Kabupaten Kendal,2023,1.19,74.58,12.99,7.73,12755,5.76,1050,1.7895723379205537,0.5995723379205538,50.38423007735746
Kabupaten Batang,2023,1.85,74.85,12.15,7.07,10470,6.06,967,1.9080757988033898,0.058075798803389755,3.139232367750797
Kabupaten Pekalongan,2023,1.3,73.87,12.44,7.47,11297,3.25,1205,1.9293798994506168,0.6293798994506168,48.41383841927821
Kabupaten Pemalang,2023,2.4,73.85,12.01,6.55,9587,6.55,1366,2.139780606110496,0.2602193938895039,10.842474745395995
Kabupaten Tegal,2023,0.88,72.0,12.92,7.34,10537,8.6,1682,2.1721030334676215,1.2921030334676216,146.82989016677516
Kabupaten Brebes,2023,2.98,69.96,12.44,6.4,10993,8.98,1154,2.617453876268952,0.3625461237310481,12.16597730641101
Kota Magelang,2023,0.74,77.22,14.4,11.2,13175,5.25,6585,0.7034502135059952,0.036549786494004755,4.93916033702767
Kota Surakarta,2023,1.0,77.63,14.9,11.0,15870,4.58,11258,0.7019239376115283,0.29807606238847173,29.80760623884717
Kota Salatiga,2023,0.75,77.93,15.44,11.24,16650,4.57,3618,0.6134103018363328,0.13658969816366717,18.211959755155625
Kota Semarang,2023,0.54,77.9,15.55,10.81,16420,5.99,4534,0.7141056010653215,0.17410560106532147,32.24177797505953
Kota Pekalongan,2023,0.82,74.6,12.87,9.29,14056,5.02,7017,1.4343930134849612,0.6143930134849612,74.92597725426357
Kota Tegal,2023,0.86,74.77,13.18,9.24,14013,6.05,7123,1.4263115723367514,0.5663115723367514,65.85018282985482
